,ECO,fen,moves,opening_name
441,C21,rnbqkbnr/ppp2ppp/8/3p4/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq,1. e4 e5 2. d4 exd4 3. c3 d5,"Danish Gambit Declined, Sorensen Defense"
442,A46,rnbqkb1r/pppppppp/8/8/3Pn3/5N2/PPP1PPPP/RNBQKB1R w KQkq,1. d4 Nf6 2. Nf3 Ne4,Doery Defense
443,C67,r1bqkb1r/pppp1ppp/2n2n2/4N3/2P1P3/8/PP1P1PPP/RNBQKB1R b KQkq,1. e4 e5 2. Nf3 Nc6 3. c4 Nf6 4. Nxe5,Dresden Opening: The Goblin
444,B00,rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,1. e4 f5,Duras Gambit
445,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,1. d4 f5,Dutch Defense
446,A84,rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq,1. d4 f5 2. c4,"Dutch Defense, 2. c4"
447,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,1. d4 f5 2. Qd3,Dutch Defense: Alapin Variation
448,A92,rnbq1rk1/ppppb1pp/4p3/5p2/2PPn3/5NP1/PP2PPBP/RNBQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O 6. O-O Ne4,Dutch Defense: Alekhine Variation
449,A81,rnbqkb1r/pppp2pp/4pn2/5p2/3P4/6PN/PPP1PPBP/RNBQK2R b KQkq,1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nh3,Dutch Defense: Blackburne Variation
450,A80,rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. f3,Dutch Defense: Blackmar's Second Gambit
451,A84,rnbqkb1r/ppppp2p/6pn/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,1. d4 f5 2. c4 g6 3. Nc3 Nh6,Dutch Defense: Bladel Variation
452,A84,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 e6 2. c4 f5,Dutch Defense: Classical Variation
453,A90,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2,"Dutch Defense: Classical Variation, 3. g3 Nf6 4. Bg2"
454,A91,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7,"Dutch Defense: Classical Variation, 3. g3 Nf6 4. Bg2 Be7"
455,A92,rnbq1rk1/ppppb1pp/4pn2/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O,"Dutch Defense: Classical Variation, 4. Bg2 Be7 5. Nf3 O-O"
456,A96,rnbq1rk1/ppp1b1pp/3ppn2/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6,"Dutch Defense: Classical Variation, 5. Nf3 O-O 6. O-O d6"
457,A91,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6PN/PP2PPBP/RNBQK2R b KQkq,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nh3,"Dutch Defense: Classical Variation, Blackburne Attack"
458,A96,rnbq1rk1/1pp1b1pp/3ppn2/p4p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 a5,"Dutch Defense: Classical Variation, Buenos Aires Variation"
459,A96,rnbq1rk1/ppp1b1pp/3pp3/5p2/2PPn3/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Ne4,"Dutch Defense: Classical Variation, Huisl Variation"
460,A97,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 f5 2. Nf3 Nf6 3. g3 e6 4. Bg2 Be7 5. O-O O-O 6. c4 d6 7. Nc3 Qe8,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation"
461,A98,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1 b -,1. d4 f5 2. Nf3 Nf6 3. g3 e6 4. Bg2 Be7 5. O-O O-O 6. c4 d6 7. Nc3 Qe8 8. Qc2,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line"
462,A99,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. b3,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line"
463,A95,rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 d5 5. Nf3 Be7 6. O-O O-O 7. Nc3 c6,"Dutch Defense: Classical Variation, Stonewall Variation"
464,A94,rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP4/BP3NP1/P3PPBP/RN1Q1RK1 b -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 d5 6. O-O O-O 7. b3 c6 8. Ba3,"Dutch Defense: Classical Variation, Stonewall Variation, 7. b3 c6 8. Ba3"
465,A93,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 d5 6. O-O O-O 7. b3,"Dutch Defense: Classical Variation, Stonewall Variation, Botvinnik Variation"
466,A81,rnbqkbnr/ppppp1pp/8/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq,1. d4 f5 2. g3,Dutch Defense: Fianchetto Attack
467,A86,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq,1. d4 f5 2. c4 Nf6 3. g3,Dutch Defense: Fianchetto Variation
468,A80,rnbqkbnr/pppp2pp/8/4pp2/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq,1. d4 f5 2. g4 e5,Dutch Defense: Hevendehl Gambit
469,A80,rnbqkbnr/ppppp1pp/8/5pB1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq,1. d4 f5 2. Bg5,Dutch Defense: Hopton Attack
470,A86,rnb1kb1r/ppq1p1pp/2pp1n2/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq,1. c4 f5 2. g3 Nf6 3. Bg2 d6 4. Nc3 c6 5. d4 Qc7,Dutch Defense: Hort-Antoshin System
471,A97,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 b -,1. d4 f5 2. Nf3 Nf6 3. g3 e6 4. Bg2 Be7 5. O-O O-O 6. c4 d6 7. Nc3 Qe8 8. Re1,"Dutch Defense: Ilyin-Zhenevsky, Winter Variation"
472,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq,1. d4 f5 2. h3 Nf6 3. g4,Dutch Defense: Janzen-Korchnoi Gambit
473,A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,1. d4 f5 2. Nc3 d5 3. e4,Dutch Defense: Kingfisher Gambit
474,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/7P/PPP1PPP1/RNBQKBNR b KQkq,1. d4 f5 2. h3,Dutch Defense: Korchnoi Attack
475,A84,r1bqkb1r/ppp1p1pp/2np1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq,1. c4 f5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 d6,Dutch Defense: Krause Variation
476,A80,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,1. d4 f5 2. g4,Dutch Defense: Krejcik Gambit
477,A80,rnbqkbnr/ppp1p1pp/8/3p4/3PP1p1/2N5/PPP2P1P/R1BQKBNR b KQkq,1. d4 f5 2. g4 fxg4 3. e4 d5 4. Nc3,"Dutch Defense: Krejcik Gambit, Tate Gambit"
478,A86,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,1. d4 f5 2. c4 Nf6 3. g3 g6,Dutch Defense: Leningrad Variation
479,A87,rnbqk2r/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq,1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3,"Dutch Defense: Leningrad Variation, 4. Bg2 Bg7 5. Nf3"
480,A81,rnbqk1nr/ppppp1bp/6p1/5p2/3P4/6PN/PPP1PPBP/RNBQK2R b KQkq,1. d4 f5 2. g3 g6 3. Bg2 Bg7 4. Nh3,"Dutch Defense: Leningrad Variation, Karlsbad Variation"
481,A89,r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O 6. c4 d6 7. Nc3 Nc6,"Dutch Defense: Leningrad Variation, Matulovic Variation"
482,A88,rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w -,1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O 6. c4 d6 7. Nc3 c6,"Dutch Defense: Leningrad Variation, Warsaw Variation"
483,A81,rnbqk2r/pp1pp1bp/2p3pn/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq,1. d4 f5 2. g3 c6 3. Bg2 g6 4. Nf3 Bg7 5. O-O Nh6,"Dutch Defense: Leningrad, Basman System"
484,A80,rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,1. d4 f5 2. Qd3 e6 3. g4,"Dutch Defense: Manhattan Gambit, Anti-Classical Line"
485,A80,rnbqkbnr/ppppp2p/6p1/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,1. d4 f5 2. Qd3 g6 3. g4,"Dutch Defense: Manhattan Gambit, Anti-Leningrad"
486,A80,rnbqkbnr/ppp1p1pp/3p4/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,1. d4 f5 2. Qd3 d6 3. g4,"Dutch Defense: Manhattan Gambit, Anti-Modern"
487,A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,1. d4 f5 2. Qd3 d5 3. g4,"Dutch Defense: Manhattan Gambit, Anti-Stonewall"
488,A90,rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/6P1/PP2PPBP/RNBQK1NR w KQkq,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Bb4+,Dutch Defense: Nimzo-Dutch Variation
489,A90,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6P1/PP1BPPBP/RN1QK1NR w KQkq,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Bb4+ 5. Bd2 Be7,"Dutch Defense: Nimzo-Dutch Variation, Alekhine Variation"
490,A84,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 f5 2. c4 Nf6,Dutch Defense: Normal Variation
491,A80,rnbqkbnr/pppp2pp/8/4pp2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,1. d4 f5 2. Nf3 e5,Dutch Defense: Omega-Isis Gambit
492,A85,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,1. d4 f5 2. c4 Nf6 3. Nc3,Dutch Defense: Queen's Knight Variation
493,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq,1. d4 f5 2. Nc3,Dutch Defense: Raphael Variation
494,A84,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,1. d4 e6 2. c4 f5 3. Nc3,Dutch Defense: Rubinstein Variation
495,A81,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq,1. d4 f5 2. g3 Nf6 3. Bg2 g6,Dutch Defense: Semi-Leningrad Variation
496,A80,rnbqkbnr/pppp2pp/4p3/5p2/3P1BP1/8/PPP1PP1P/RN1QKBNR b KQkq,1. d4 e6 2. Bf4 f5 3. g4,Dutch Defense: Senechaud Gambit
497,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/2N5/PPP1PP1P/R1BQKBNR b KQkq,1. d4 f5 2. Nc3 Nf6 3. g4,Dutch Defense: Spielmann Gambit
498,A82,rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,1. d4 f5 2. e4,Dutch Defense: Staunton Gambit
499,A83,rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5,"Dutch Defense: Staunton Gambit, 3. Nc3 Nf6 4. Bg5"
500,A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq,1. d4 f5 2. e4 fxe4,Dutch Defense: Staunton Gambit Accepted
501,A83,rnbqkb1r/ppppp2p/5np1/6B1/3Pp2P/2N5/PPP2PP1/R2QKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. h4,"Dutch Defense: Staunton Gambit, Alekhine Variation"
502,A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPPN1PPP/R1BQKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nd2,"Dutch Defense: Staunton Gambit, American Attack"
503,A83,rnbqkb1r/pp1pp1pp/2p2n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 c6,"Dutch Defense: Staunton Gambit, Chigorin Variation"
504,A83,rnbqkb1r/ppppp2p/5np1/6B1/3Pp3/2N2P2/PPP3PP/R2QKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. f3,"Dutch Defense: Staunton Gambit, Lasker Variation"
505,A83,rnbqkb1r/p1ppp1pp/1p3n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 b6,"Dutch Defense: Staunton Gambit, Nimzowitsch Variation"
506,A82,rnbqkb1r/ppppp1pp/5n2/8/3Pp1P1/2N5/PPP2P1P/R1BQKBNR b KQkq,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4,"Dutch Defense: Staunton Gambit, Tartakower Variation"
507,A92,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w -,1. d4 e6 2. c4 f5 3. g3 Nf6 4. Bg2 Be7 5. Nf3 d5 6. O-O O-O,Dutch Defense: Stonewall Variation
508,A90,rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq,1. d4 e6 2. Nf3 f5 3. g3 Nf6 4. Bg2 d5 5. O-O Bd6 6. c4 c6,"Dutch Defense: Stonewall Variation, Modern Variation"
509,A92,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b -,1. d4 e6 2. Nf3 f5 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 d5 7. Nc3,"Dutch Defense: Stonewall, with Nc3"
510,A95,rnb1qrk1/pp2b1pp/2p1pn2/3p1pB1/2PP4/2N2NP1/PPQ1PPBP/R4RK1 b -,1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3 c6 8. Qc2 Qe8 9. Bg5,Dutch Defense: Stonewall: Chekhover Variation
511,A49,rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,1. d4 Nf6 2. Nf3 g6,East Indian Defense
512,C40,rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,1. e4 e5 2. Nf3 d5,Elephant Gambit
513,C40,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq,1. e4 e5 2. Nf3 d5 3. exd5 Bd6,Elephant Gambit: Maroczy Gambit
514,C40,rnbqkbnr/ppp2ppp/8/3P4/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq,1. e4 e5 2. Nf3 d5 3. exd5 e4,Elephant Gambit: Paulsen Countergambit
515,C40,rnb1kbnr/ppp2ppp/8/4N1q1/2B1p3/8/PPPP1PPP/RNBQK2R w KQkq,1. e4 e5 2. Nf3 d5 3. Nxe5 dxe4 4. Bc4 Qg5,Elephant Gambit: Wasp Variation
516,A40,rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,1. d4 b6,English Defense
517,A40,rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,1. d4 e6 2. c4 b6,"English Defense, 2. c4 b6"
518,A50,rnbqkbnr/p2p2pp/4p3/1PpP1p2/4P3/8/PP3PPP/RNBQKBNR w KQkq,1. d4 b6 2. c4 c5 3. d5 e6 4. e4 b5 5. cxb5 f5,English Defense: Blumenfeld-Hiva Gambit
519,A40,rn1qkbnr/pbpp1ppp/1p6/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,1. d4 b6 2. c4 Bb7 3. Nc3 e5,English Defense: Eastbourne Gambit
520,A40,rn1qkb1r/pbpp2pp/1p2pn2/5P2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq,1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. exf5 Nf6,English Defense: Hartlaub Gambit Accepted
521,A40,rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq,1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. d5,English Defense: Hartlaub Gambit Declined
522,A40,r2qkbnr/pbpp1ppp/1pn1p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR w KQkq,1. d4 e6 2. c4 b6 3. e4 Bb7 4. Bd3 Nc6,English Defense: Perrin Variation
523,A40,rn1qkb1r/pbpp2pp/1p2p2n/5P2/2PP4/5P2/PP4PP/RNBQKBNR w KQkq,1. d4 e6 2. c4 b6 3. e4 Bb7 4. f3 f5 5. exf5 Nh6,English Defense: Poli Gambit
524,A10,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq,1. c4,English Opening
525,A10,rnbqkb1r/pppppppp/5n2/8/2P3P1/8/PP1PPP1P/RNBQKBNR b KQkq,1. c4 Nf6 2. g4,English Opening: 2. g4
526,A10,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,1. e4 Nf6 2. c4,English Opening: Achilles-Omega Gambit
527,A10,rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,1. c4 g6 2. e4 e5,English Opening: Adorjan Defense
528,A13,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,1. c4 e6,English Opening: Agincourt Defense
529,A13,rnbqkbnr/pppp1ppp/4p3/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq,1. c4 e6 2. Nf3,"English Opening: Agincourt Defense, 2. Nf3"
530,A13,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,1. c4 e6 2. Nf3 d5,"English Opening: Agincourt Defense, 2. Nf3 d5"
531,A13,rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq,1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Bd6,"English Opening: Agincourt Defense, Bogoljubov Defense"
532,A13,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,1. Nf3 d5 2. c4 e6 3. g3 c5,"English Opening: Agincourt Defense, Catalan Defense"
533,A14,rn1qkbnr/pbp2ppp/1p2p3/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq,1. Nf3 d5 2. c4 e6 3. g3 b6 4. Bg2 Bb7 5. O-O,"English Opening: Agincourt Defense, Catalan Defense, 4. Bg2 Bb7 5. O-O"
534,A13,rnbqkb1r/ppp2ppp/4pn2/8/2p5/5NP1/PP1PPPBP/RNBQK2R w KQkq,1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4,"English Opening: Agincourt Defense, Catalan Defense Accepted"
535,A13,rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq,1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2 c6,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense"
536,A14,r1bqk2r/pp2bppp/2n1p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq,1. c4 c5 2. Nf3 Nf6 3. Nc3 e6 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Nc6 7. O-O Be7,"English Opening: Agincourt Defense, Keres Defense"
537,A13,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,1. Nf3 d5 2. c4 e6 3. g3 c6,"English Opening: Agincourt Defense, Kurajica Defense"
538,A14,rnbqk2r/ppp1bppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq,1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. O-O,"English Opening: Agincourt Defense, Neo-Catalan Declined"
539,A14,r1bqk2r/pp2bppp/2n1pn2/2pp4/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 w kq,1. Nf3 Nf6 2. c4 e6 3. g3 d5 4. b3 c5 5. Bg2 Nc6 6. O-O Be7,"English Opening: Agincourt Defense, Tarrasch Defense"
540,A13,rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq,1. Nf3 Nf6 2. c4 e6 3. b3 d5 4. Bb2 c5 5. e3,"English Opening: Agincourt Defense, Wimpy System"
541,A10,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,1. c4 f5,English Opening: Anglo-Dutch Defense
542,A10,rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,1. c4 f5 2. e4,"English Opening: Anglo-Dutch Defense, Hickmann Gambit"
543,A10,rnbqkbnr/ppp1p1pp/3p4/5p2/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq,1. c4 f5 2. Nf3 d6 3. e4,"English Opening: Anglo-Dutch Variation, Chabanon Gambit"
544,A10,rnbqkb1r/ppppp1pp/5n2/5p2/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq,1. c4 f5 2. Nc3 Nf6 3. e4,"English Opening: Anglo-Dutch Variation, Ferenc Gambit"
545,A16,rnbqkb1r/ppp1pppp/5n2/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,1. c4 Nf6 2. Nc3 d5,English Opening: Anglo-Gruenfeld Defense
546,A16,rnbqk2r/ppp2pbp/6p1/3np3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq,1. Nf3 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. g3 Bg7 6. Bg2 e5,English Opening: Anglo-Gruenfeld Defense: Korchnoi Variation
547,A15,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,1. c4 Nf6,English Opening: Anglo-Indian Defense
548,A16,rnbqkb1r/ppp1pppp/8/3n4/8/2N2N2/PP1PPPPP/R1BQKB1R b KQkq,1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. Nf3,"English Opening: Anglo-Indian Defense, Anglo-Gruenfeld Variation"
549,A16,rnbqkb1r/ppp1pp1p/1n4p1/8/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq,1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nb6,"English Opening: Anglo-Indian Defense, Anglo-Gruenfeld Variation, 4. g3 g6 5. Bg2 Nb6"
550,A16,rnbqkb1r/ppp1pp1p/6p1/8/8/2n3P1/PP1PPPBP/R1BQK1NR w KQkq,1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nxc3,"English Opening: Anglo-Indian Defense, Anglo-Gruenfeld Variation, 4. g3 g6 5. Bg2 Nxc3"
551,A17,rnbqk2r/ppppppbp/5np1/8/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq,1. Nf3 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4,"English Opening: Anglo-Indian Defense, Anti-Anti-Gruenfeld"
552,A19,rnbqkbnr/pp1p1ppp/4p3/2p1P3/2P5/2N5/PP1P1PPP/R1BQKBNR w KQkq,1. c4 Nf6 2. Nc3 e6 3. e4 c5 4. e5 Ng8,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit"
553,A15,rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,1. g3 d5 2. Nf3 g6 3. c4 Nf6,"English Opening: Anglo-Indian Defense, Gruenfeld Formation"
554,A17,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq,1. c4 Nf6 2. Nc3 e6,"English Opening: Anglo-Indian Defense, Hedgehog System"
555,A15,rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq,1. Nf3 Nf6 2. c4 g6,"English Opening: Anglo-Indian Defense, King's Indian Formation"
556,A15,rn1qkb1r/pbpppp1p/1p3np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq,1. Nf3 Nf6 2. c4 b6 3. g3 Bb7 4. Bg2 g6,"English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto"
